R1116TS489_2.pdb     -10227.819342 kBT
R1116TS054_2.pdb     -11805.391411 kBT
R1116TS439_5.pdb     -13471.346123 kBT
R1116TS125_3.pdb     -13392.899228 kBT
R1116TS232_4.pdb     -18063.827878 kBT
R1116TS163_1.pdb     -4250.832612 kBT
R1116TS287_3.pdb     -13207.775640 kBT
R1116TS035_5.pdb     -14106.589528 kBT
R1116TS119_5.pdb     -13845.289195 kBT
R1116TS470_1.pdb     -10028.766152 kBT
R1116TS239_1.pdb     -13751.410390 kBT
R1116TS076_3.pdb     -13207.776081 kBT
R1116TS097_1.pdb     -3249.936115 kBT
R1116TS235_3.pdb     -12058.359777 kBT
R1116TS470_2.pdb     -10143.353123 kBT
R1116TS185_2.pdb     -17361.034614 kBT
R1116TS076_2.pdb     -13025.371411 kBT
R1116TS245_2.pdb     -7690.716760 kBT
R1116TS416_1.pdb     -14008.763170 kBT
R1116TS131_4.pdb     -7675.341703 kBT
R1116TS035_3.pdb     -13570.542194 kBT
R1116TS416_3.pdb     -14837.998056 kBT
R1116TS392_3.pdb     -9662.545733 kBT
R1116TS245_3.pdb     -8070.936643 kBT
R1116TS239_5.pdb     -13234.152842 kBT
R1116TS287_2.pdb     -13569.192045 kBT
R1116TS081_4.pdb     -13393.722133 kBT
R1116TS035_2.pdb     -15011.833556 kBT
R1116TS439_1.pdb     -13106.881554 kBT
R1116TS054_3.pdb     -13122.688363 kBT
R1116TS229_5.pdb     -13911.387931 kBT
R1116TS489_1.pdb     -9931.351304 kBT
R1116TS076_5.pdb     -13529.807280 kBT
R1116TS470_4.pdb     -9573.577662 kBT
R1116TS285_1.pdb     -11832.346017 kBT
R1116TS119_1.pdb     -14016.918002 kBT
R1116TS245_5.pdb     -7262.406058 kBT
R1116TS239_2.pdb     -13321.411039 kBT
R1116TS147_1.pdb     -11763.155812 kBT
R1116TS248_4.pdb     -14400.728476 kBT
R1116TS392_1.pdb     -11884.983537 kBT
R1116TS232_2.pdb     -18067.573641 kBT
R1116TS235_1.pdb     -6555.565486 kBT
R1116TS076_1.pdb     -13900.775600 kBT
R1116TS054_1.pdb     -11783.089940 kBT
R1116TS119_3.pdb     -13191.665424 kBT
R1116TS239_4.pdb     -12558.949255 kBT
R1116TS081_2.pdb     -14485.416315 kBT
R1116TS029_1.pdb     -6399.818503 kBT
R1116TS248_1.pdb     -13699.250674 kBT
R1116TS392_4.pdb     -10145.243764 kBT
R1116TS081_1.pdb     -13136.478623 kBT
R1116TS185_3.pdb     -16365.521136 kBT
R1116TS110_5.pdb     -13098.894755 kBT
R1116TS131_3.pdb     -5327.599113 kBT
R1116TS229_4.pdb     -12924.602593 kBT
R1116TS185_5.pdb     -17367.426210 kBT
R1116TS235_2.pdb     -7713.703776 kBT
R1116TS091_2.pdb     -149.266522 kBT
R1116TS147_5.pdb     -9990.347957 kBT
R1116TS177_1.pdb     -7060.981558 kBT
R1116TS239_3.pdb     -12897.123635 kBT
R1116TS029_2.pdb     -5156.199846 kBT
R1116TS285_4.pdb     -8585.445466 kBT
R1116TS232_5.pdb     -18538.911146 kBT
R1116TS110_1.pdb     -13940.136076 kBT
R1116TS287_1.pdb     -13326.428762 kBT
R1116TS489_3.pdb     -9470.951838 kBT
R1116TS416_2.pdb     -10489.291742 kBT
R1116TS035_4.pdb     -14465.030185 kBT
R1116TS091_5.pdb     726.851307 kBT
R1116TS287_4.pdb     -13129.730253 kBT
R1116TS035_1.pdb     -13120.252588 kBT
R1116TS245_1.pdb     -7365.625443 kBT
R1116TS091_4.pdb     1231.909807 kBT
R1116TS110_2.pdb     -13148.614408 kBT
R1116TS232_1.pdb     -18746.927571 kBT
R1116TS235_5.pdb     -7306.845656 kBT
R1116TS238_2.pdb     -3669.430181 kBT
R1116TS147_3.pdb     -10097.910709 kBT
R1116TS285_3.pdb     -12704.842163 kBT
R1116TS125_2.pdb     -14417.587205 kBT
R1116TS147_2.pdb     -9665.216365 kBT
